,,,,,,,,,,
,136059,2,82,96,5,31,1,59,49,0
,136377,2,82,96,5,31,1,4,49,0
,136688,2,82,96,5,31,1,1,49,0
,137001,2,82,96,5,31,1,3,49,0
,137313,2,82,96,5,30,1,5,49,0
,137625,2,82,96,5,31,1,5,49,0
,137937,2,82,96,5,31,1,2,49,0
,138250,2,82,96,5,31,1,3,49,0
,138546,2,82,95,5,31,1,6,69,0
,138934,2,82,95,5,31,1,1,69,0
,139245,2,82,95,5,31,1,2,69,0
,139557,2,82,95,5,31,1,10,69,0
,139868,2,82,95,5,31,1,8,69,0
,140180,2,82,95,5,31,1,2,69,0
,140491,2,92,95,5,31,1,1,70,0
,140803,2,92,95,5,31,1,2,70,0
,141114,2,92,95,5,31,1,6,70,0
,141426,2,92,95,5,31,1,1,70,0
,141744,2,92,95,5,31,1,7,70,0
,142055,2,92,95,5,30,1,3,70,0
,142367,2,92,95,5,31,1,9,70,0
,142678,2,92,95,5,31,1,9,70,0
,142990,2,92,95,5,31,1,7,70,0
,143301,2,92,95,5,31,1,9,70,0
,143613,2,92,95,5,31,1,7,70,0
,143924,2,92,95,5,31,1,9,70,0
,144236,2,92,95,5,31,1,5,70,0
,144547,2,92,95,5,31,1,4,70,0
,144842,2,92,78,5,31,1,4,49,0
,145153,2,92,78,5,31,1,3,49,0
,145466,2,92,78,5,31,1,2,49,0
,145777,2,92,78,5,30,1,4,49,0
,146089,2,92,78,5,30,1,9,49,0
,146400,2,92,78,5,31,1,8,49,0
,146712,2,92,78,5,31,1,2,49,0
,147015,2,92,78,5,31,1,10,49,0
,147328,2,92,78,5,31,1,3,49,0
,147639,2,92,78,5,31,1,3,49,0
,147951,2,92,78,5,31,1,3,49,0
,148262,2,92,78,5,31,1,1,49,0
,148574,2,92,78,5,31,1,4,49,0
,148959,2,92,78,5,31,1,9,49,0
,149263,2,92,78,5,30,1,10,49,0
,149575,2,92,78,5,30,1,3,49,0
,149886,2,92,78,5,31,1,3,49,0
,150198,2,92,78,5,31,1,9,49,0
,150509,2,92,78,5,31,1,7,49,0
,150821,2,92,81,5,31,1,3,50,0
,151132,2,92,81,5,31,1,8,50,0
,151444,2,92,81,5,31,1,4,50,0
,151755,2,92,81,5,31,1,3,50,0
,152067,2,92,81,5,31,1,5,50,0
,152370,2,92,81,5,31,1,7,50,0
,152683,2,92,81,5,31,1,1,50,0
,152995,2,92,81,5,31,1,6,50,0
,153308,2,92,81,5,31,1,6,50,0
,153619,2,92,81,5,31,1,9,50,0
,153931,2,92,81,5,31,1,5,50,0
,154243,2,92,81,5,31,1,7,50,0
,154556,2,92,81,5,31,1,6,50,0
,154868,2,92,81,5,31,1,6,50,0
,155088,2,65,92,5,31,1,5,50,0
,155400,2,65,92,5,31,1,5,50,0
,155713,2,65,92,5,31,1,4,50,0
,156025,2,65,92,5,31,1,9,50,0
,156338,2,65,92,5,31,1,5,50,0
,156650,2,65,92,5,31,1,2,50,0
,156963,2,65,92,5,31,1,10,50,0
,157275,2,65,92,5,31,1,8,50,0
,157588,2,65,92,5,31,1,5,50,0
,157906,2,65,92,5,30,1,7,50,0
,158217,2,65,92,5,30,1,5,50,0
,158529,2,65,92,5,31,1,2,50,0
,158840,2,65,92,5,31,1,8,50,0
,159228,2,65,92,5,31,1,9,50,0
,159539,2,65,92,5,31,1,6,50,0
,159851,2,65,92,5,31,1,10,50,0
,160162,2,65,92,5,31,1,10,50,0
,160474,2,65,92,5,31,1,6,50,0
,160785,2,65,92,5,31,1,9,50,0
,161097,2,65,95,5,31,1,8,55,0
,161408,2,65,95,5,31,1,1,55,0
,161720,2,65,95,5,30,1,9,55,0
,162031,2,65,95,5,31,1,7,55,0
,162343,2,65,95,5,31,1,8,55,0
,162654,2,65,95,5,31,1,6,55,0
,162966,2,65,95,5,31,1,5,55,0
,163283,2,65,95,5,31,1,9,55,0
,163594,2,65,95,5,31,1,3,55,0
,163906,2,65,95,5,31,1,7,55,0
,164217,2,65,95,5,31,1,10,55,0
,164529,2,65,95,5,31,1,3,55,0
,164840,2,65,95,5,31,1,7,55,0
,165122,2,84,95,5,31,1,2,70,0
,165433,2,84,95,5,30,1,8,70,0
,165745,2,84,95,5,31,1,2,70,0
,166056,2,84,95,5,31,1,3,70,0
,166368,2,84,95,5,31,1,5,70,0
,166679,2,84,95,5,31,1,2,70,0
,166991,2,84,95,5,31,1,3,70,0
,167302,2,84,95,5,31,1,8,70,0
,167614,2,84,95,5,31,1,4,70,0
,167926,2,84,95,5,31,1,6,70,0
,168238,2,84,95,5,31,1,9,70,0
,168555,2,84,95,5,31,1,6,70,0
,168867,2,84,95,5,31,1,9,70,0
,169253,2,84,95,5,31,1,1,70,0
,169565,2,84,95,5,31,1,8,70,0
,169877,2,84,95,5,31,1,10,70,0
,170190,2,84,95,5,31,1,9,70,0
,170502,2,84,95,5,31,1,2,70,0
,170815,2,84,95,5,31,1,8,70,0
,171127,2,84,85,5,31,1,7,59,0
,171440,2,84,85,5,31,1,9,59,0
,171752,2,84,85,5,31,1,5,59,0
,172065,2,84,85,5,31,1,1,59,0
,172377,2,84,85,5,31,1,10,59,0
,172690,2,84,85,5,31,1,8,59,0
,173002,2,84,85,5,31,1,9,59,0
,173315,2,84,85,5,31,1,2,59,0
,173628,2,84,85,5,31,1,7,59,0
,173949,2,84,85,5,31,1,7,59,0
,174263,2,84,85,5,31,1,9,59,0
,174577,2,84,85,5,31,1,1,59,0
,174891,2,84,85,5,31,1,1,59,0
,175205,2,84,85,5,31,1,5,59,0
,175520,2,84,85,5,31,1,3,59,0
,175834,2,84,85,5,31,1,7,59,0
,176148,2,84,85,5,31,1,9,59,0
,176462,2,84,85,5,31,1,2,59,0
,176777,2,84,85,5,31,1,9,59,0
,177092,2,84,85,5,31,1,7,59,0
,177406,2,65,72,5,31,1,8,70,0
,177721,2,65,72,5,31,1,3,70,0
,178035,2,65,72,5,31,1,9,70,0
,178349,2,65,72,5,31,1,8,70,0
,178742,2,65,72,5,31,1,8,70,0
,179056,2,65,72,5,31,1,9,70,0
,179377,2,65,72,5,31,1,5,50,0
,179691,2,65,72,5,31,1,1,50,0
,180005,2,65,72,5,31,1,4,50,0
,180319,2,65,72,5,31,1,10,50,0
,180633,2,65,72,5,31,1,10,50,0
